"met2013","Geo_STATE","Geo_COUNTY","met_name"
10020,22,113,"Abbeville, LA Micro Area"
10100,46,45,"Aberdeen, SD Micro Area"
10100,46,13,"Aberdeen, SD Micro Area"
10140,53,27,"Aberdeen, WA Micro Area"
10180,48,59,"Abilene, TX Metro Area"
10180,48,253,"Abilene, TX Metro Area"
10180,48,441,"Abilene, TX Metro Area"
10220,40,123,"Ada, OK Micro Area"
10300,26,91,"Adrian, MI Micro Area"
10420,39,153,"Akron, OH Metro Area"
10420,39,133,"Akron, OH Metro Area"
10460,35,35,"Alamogordo, NM Micro Area"
10500,13,7,"Albany, GA Metro Area"
10500,13,321,"Albany, GA Metro Area"
10500,13,95,"Albany, GA Metro Area"
10500,13,273,"Albany, GA Metro Area"
10500,13,177,"Albany, GA Metro Area"
10540,41,43,"Albany-Lebanon, OR Micro Area"
10580,36,1,"Albany-Schenectady-Troy, NY Metro Area"
10580,36,83,"Albany-Schenectady-Troy, NY Metro Area"
10580,36,91,"Albany-Schenectady-Troy, NY Metro Area"
10580,36,95,"Albany-Schenectady-Troy, NY Metro Area"
10580,36,93,"Albany-Schenectady-Troy, NY Metro Area"
10620,37,167,"Albemarle, NC Micro Area"
10660,27,47,"Albert Lea, MN Micro Area"
10700,1,95,"Albertville, AL Micro Area"
10740,35,57,"Albuquerque, NM Metro Area"
10740,35,1,"Albuquerque, NM Metro Area"
10740,35,61,"Albuquerque, NM Metro Area"
10740,35,43,"Albuquerque, NM Metro Area"
10760,1,123,"Alexander City, AL Micro Area"
10760,1,37,"Alexander City, AL Micro Area"
10780,22,79,"Alexandria, LA Metro Area"
10780,22,43,"Alexandria, LA Metro Area"
10820,27,41,"Alexandria, MN Micro Area"
10860,48,249,"Alice, TX Micro Area"
10880,26,5,"Allegan, MI Micro Area"
10900,42,25,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
10900,42,95,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
10900,34,41,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
10900,42,77,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
10940,26,57,"Alma, MI Micro Area"
10980,26,7,"Alpena, MI Micro Area"
11020,42,13,"Altoona, PA Metro Area"
11060,40,65,"Altus, OK Micro Area"
11100,48,65,"Amarillo, TX Metro Area"
11100,48,381,"Amarillo, TX Metro Area"
11100,48,11,"Amarillo, TX Metro Area"
11100,48,375,"Amarillo, TX Metro Area"
11140,13,249,"Americus, GA Micro Area"
11140,13,261,"Americus, GA Micro Area"
11180,19,169,"Ames, IA Metro Area"
11220,36,57,"Amsterdam, NY Micro Area"
11260,2,170,"Anchorage, AK Metro Area"
11260,2,20,"Anchorage, AK Metro Area"
11300,18,95,"Anderson, IN Metro Area"
11340,45,7,"Anderson, SC Metro Area"
11380,48,3,"Andrews, TX Micro Area"
11420,18,151,"Angola, IN Micro Area"
11460,26,161,"Ann Arbor, MI Metro Area"
11500,1,15,"Anniston-Oxford, AL Metro Area"
11540,55,87,"Appleton, WI Metro Area"
11540,55,15,"Appleton, WI Metro Area"
11580,12,27,"Arcadia, FL Micro Area"
11620,40,19,"Ardmore, OK Micro Area"
11620,40,85,"Ardmore, OK Micro Area"
11660,5,19,"Arkadelphia, AR Micro Area"
11700,37,89,"Asheville, NC Metro Area"
11700,37,87,"Asheville, NC Metro Area"
11700,37,115,"Asheville, NC Metro Area"
11700,37,21,"Asheville, NC Metro Area"
11740,39,5,"Ashland, OH Micro Area"
11780,39,7,"Ashtabula, OH Micro Area"
11820,41,7,"Astoria, OR Micro Area"
11860,20,5,"Atchison, KS Micro Area"
11900,39,9,"Athens, OH Micro Area"
11940,47,107,"Athens, TN Micro Area"
11980,48,213,"Athens, TX Micro Area"
12020,13,221,"Athens-Clarke County, GA Metro Area"
12020,13,195,"Athens-Clarke County, GA Metro Area"
12020,13,59,"Athens-Clarke County, GA Metro Area"
12020,13,219,"Athens-Clarke County, GA Metro Area"
12060,13,97,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,45,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,113,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,35,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,121,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,171,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,15,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,117,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,89,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,227,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,199,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,223,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,135,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,85,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,231,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,63,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,247,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,57,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,143,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,151,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,13,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,255,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,217,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,149,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,67,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,77,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,159,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12060,13,297,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
12100,34,1,"Atlantic City-Hammonton, NJ Metro Area"
12140,18,33,"Auburn, IN Micro Area"
12180,36,11,"Auburn, NY Micro Area"
12220,1,81,"Auburn-Opelika, AL Metro Area"
12260,13,189,"Augusta-Richmond County, GA-SC Metro Area"
12260,13,33,"Augusta-Richmond County, GA-SC Metro Area"
12260,45,3,"Augusta-Richmond County, GA-SC Metro Area"
12260,13,245,"Augusta-Richmond County, GA-SC Metro Area"
12260,45,37,"Augusta-Richmond County, GA-SC Metro Area"
12260,13,73,"Augusta-Richmond County, GA-SC Metro Area"
12300,23,11,"Augusta-Waterville, ME Micro Area"
12380,27,99,"Austin, MN Micro Area"
12420,48,491,"Austin-Round Rock-San Marcos, TX Metro Area"
12420,48,21,"Austin-Round Rock-San Marcos, TX Metro Area"
12420,48,453,"Austin-Round Rock-San Marcos, TX Metro Area"
12420,48,209,"Austin-Round Rock-San Marcos, TX Metro Area"
12420,48,55,"Austin-Round Rock-San Marcos, TX Metro Area"
12460,13,87,"Bainbridge, GA Micro Area"
12540,6,29,"Bakersfield-Delano, CA Metro Area"
12580,24,35,"Baltimore-Towson, MD Metro Area"
12580,24,5,"Baltimore-Towson, MD Metro Area"
12580,24,27,"Baltimore-Towson, MD Metro Area"
12580,24,3,"Baltimore-Towson, MD Metro Area"
12580,24,510,"Baltimore-Towson, MD Metro Area"
12580,24,25,"Baltimore-Towson, MD Metro Area"
