fips,services,admin.support,construction,finance,information,management,manufacturing,extraction,realestate,retail,transportation,utilities
1,14.96284419,12.67500889,7.483466759,6.919805462,3.338221505,1.762404448,22.1251562,0.807594354,2.17323907,20.78243073,5.500143602,1.46968478
2,15.13942875,11.190405,13.65008265,4.070315189,3.679925984,3.539453568,7.023620803,8.470091787,2.376184002,19.02357567,10.69452045,1.142396155
4,18.85821038,16.26521114,9.290999387,9.656681651,3.674371793,0,9.895095088,0.89298169,3.035777765,21.46275906,6.054081377,0.913830679
5,14.50493843,7.971103313,6.50674826,5.37258053,3.590749307,6.051870582,23.25929087,1.543194464,1.947076208,20.49643104,7.686918257,1.069098734
6,17.31757065,13.77374676,7.414550154,7.471568444,6.969303478,3.438191702,14.44191471,0.345759505,3.395412467,19.11850692,5.483761643,0.829713568
8,18.31833364,16.02736126,9.408175624,7.522899441,6.242587437,4.193539787,8.731837554,2.522766138,2.948343433,18.71595553,4.720883909,0.647316243
9,15.61166355,10.79029507,6.486894167,13.84565402,4.332408944,0,19.01152199,0.118236775,2.294884142,21.17911885,5.105763318,1.223559171
10,16.35706345,10.51226929,8.164521493,16.73786622,3.198926954,0,12.10622054,0,2.481419214,23.75354849,5.483743535,1.204420803
12,17.38382195,26.81207992,6.517965721,7.493989828,3.378544984,2.903746354,6.127688766,0.090249335,3.095036906,20.96183986,4.630359204,0.604677176
13,15.82544831,14.69174122,6.487915597,7.357953223,5.510790221,5.128039896,14.93934528,0.243621275,2.485930469,19.41452133,6.902662471,1.012030702
15,30.57203686,14.70325879,8.600599854,5.807704859,2.588696017,0,3.55561081,0,3.533543645,21.24663942,8.341699172,1.05021057
16,17.53659585,10.89682055,10.36222539,7.013086915,3.963890586,0,16.83425288,1.022647571,2.025902331,23.58812255,5.557656443,1.198798939
17,14.51955707,14.2065277,6.33011528,9.147843187,3.858295649,6.132501967,16.74858581,0.306107503,2.373028425,18.32263224,7.128757357,0.926047814
18,15.13266571,10.61005473,7.346685877,5.746989452,2.511665688,3.291591811,26.8303717,0.362333019,1.880443741,18.35393728,7.010797061,0.922463936
19,13.57686647,8.693350125,7.784405011,10.81937133,3.577998528,1.785579517,24.02336748,0.257896077,1.418723232,20.58404558,6.57558348,0.902813154
20,14.87053519,9.774889184,8.185961714,8.224929892,4.73908717,2.788729846,21.21302372,0,1.984036964,20.24675207,6.961247538,1.010806711
21,15.77564642,9.431216413,6.434883812,6.823031147,3.317544119,3.162365588,21.46217574,2.003953836,1.834202192,20.3636645,8.518436998,0.872879235
22,18.10171339,9.637233927,12.73536297,6.049803794,2.309572081,2.335334595,12.7250953,5.046559211,2.921431798,20.55932659,6.539478253,1.039088082
23,17.24135537,7.773396553,8.813320467,8.916410388,4.148588328,0,17.09071219,0.032627786,2.166623857,27.82212997,5.174628078,0.820207013
24,17.18502287,15.37052371,12.13029253,8.432039799,4.778049298,0,8.421521207,0.115115469,3.604763492,23.70284726,5.461757766,0.798066599
25,15.8550564,11.15730275,7.008006315,11.77070426,6.709982211,5.664605357,13.59059555,0.064421958,2.483321387,20.40597441,4.517836467,0.772192929
26,15.42359981,13.98398035,5.852306233,6.736815182,2.98545638,4.410644125,22.82689397,0.282062395,2.162803999,19.59116939,4.721347931,1.022920234
27,14.25945434,10.4653786,7.306701768,10.12254856,4.061192655,7.330611175,19.14577861,0.410251994,2.217340361,18.56758232,5.290341821,0.822817801
28,19.70880519,8.136973805,7.043509666,5.844921046,2.353262335,1.321685993,22.51512012,1.170442388,1.735401686,23.06498897,5.612290747,1.49259805
29,16.58628767,10.28171816,7.651290327,9.183725107,4.132083594,4.944746804,16.85969411,0.241240977,2.318616941,20.97465514,5.707706055,1.118235114
30,21.11609263,9.335622192,10.94817196,7.398918879,4.182037328,1.45686475,7.181142481,3.951933964,2.377278206,25.30132583,5.415190474,1.335421308
31,13.86602973,11.27702401,8.016347869,12.34473677,4.082419516,3.501900133,18.27153122,0.201283628,1.990691127,20.949513,5.314639133,0.183883864
32,39.49506914,12.4738152,7.262407006,4.577649423,2.291220272,0,5.073663477,2.06244427,2.982738658,17.29820732,5.818549621,0.664235617
33,15.20433453,12.70230202,6.873978468,6.822497475,3.862762363,1.992286291,18.74583299,0.088614824,1.981596248,26.91077472,3.87851611,0.936503962
34,14.06746028,13.59315278,7.086374754,9.575971118,5.742913095,6.432232286,11.11666336,0.06722127,2.590115052,21.02406666,7.725434601,0.978394746
35,22.58604331,9.429422204,10.33230613,6.209446102,3.42231835,1.670690725,7.309203565,5.425506608,2.66708958,24.82575325,4.78785509,1.334365097
36,15.57686816,12.48159102,7.65813487,12.37993883,6.576750043,4.350470703,9.78496387,0.116744056,3.814594842,20.76450155,5.518094755,0.977347295
37,16.61448223,11.84152856,8.367657075,7.796531642,3.698763419,4.030495235,18.69897191,0.114901523,2.184750529,20.68102318,5.038987755,0.931906948
38,16.00297663,5.69997893,11.57613495,7.710101268,3.161325318,2.197058336,10.55314227,11.18567631,2.311820003,21.15290647,8.448879505,0
39,14.99662888,12.4468868,6.214732666,8.289568174,3.089327566,5.852242603,21.50673779,0.332036783,2.090782327,18.8327477,5.449045283,0.899263428
40,16.70963544,10.86363165,8.111496117,6.722915995,3.362621937,3.523245623,15.48784789,6.957682643,2.474652302,19.65184234,5.179764675,0.954663383
